News_ID,Link_to_check
edmo_898,https://pl.sputniknews.com/20161014/ukraina-azow-nacjonalisci-partia-polityczna-4066582.html
edmo_901,https://srbin.info/
edmo_908,https://ria.ru/20220414/lnr-1783580420.html
edmo_935,https://economictimes.indiatimes.com/news/international/business/goldman-sachs-to-exit-russia/articleshow/90133245.cms?from=mdr
edmo_969,https://ria.ru/20220329/upravlenie-1780592237.html?utm_source=yxnews&utm_medium=desktop
edmo_975,https://orf.at/stories/3266436/
edmo_1001,https://contropiano.org/news/internazionale-news/2022/05/17/le-sorprese-dai-tunnel-dellazovstal-catturato-generale-usa-0149381
edmo_1001,https://ilsimplicissimus2.com/2022/05/16/imminente-la-resa-dellazovstal/
edmo_1042,https://meduza.io/en/feature/2022/04/07/meduza-publishes-new-footage-evidencing-civilian-murders-in-bucha-during-russian-occupation
edmo_1051,https://tass.com/defense/1431731?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1062,https://tass.com/world/1418925?utm_referrer=google.com&utm_source=pocket_mylist
edmo_1067,https://tass.com/society/1444877?utm_source=techarp.com&utm_medium=referral&utm_campaign=techarp.com&utm_referrer=techarp.com
edmo_1067,https://ria.ru/20220505/biolaboratorii-1787022521.html
edmo_1086,https://ria.ru/20200524/1571822571.html
edmo_1089,https://tass.com/society/1444877
edmo_1089,https://torontosun.com/news/national/russian-sanctions-prove-canadian-mission-in-ukraine-had-impact-commander
edmo_1152,https://orf.at/stories/3252187/
edmo_1181,https://tass.com/science/1436125?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1188,https://report24.news/selenskyj-veroeffentlicht-selbst-drogenvideo-kokainwahn-im-drehstuhl/
edmo_1196,https://economictimes.indiatimes.com/magazines/panache/on-public-demand-netflix-brings-back-tv-comedy-servant-of-the-people-starring-ukraines-president-zelensky/articleshow/90283171.cms
edmo_1219,https://economictimes.indiatimes.com/news/international/world-news/russia-claims-mariupol-liberated-but-west-hails-ukraines-resistance/articleshow/90979889.cms
edmo_1222,https://english.alarabiya.net/News/world/2022/04/10/Over-1-200-bodies-found-in-Ukraine-s-Kyiv-region-Prosecutor-
edmo_1238,https://ria.ru/
